driver version:	441.20
NVML version:	10.441.20


devices_count:	1
devices:
- index:	0
  name:		GeForce GTX 950
  fan_speed:	0%
  temperature:	46C
  power_usage:	12404mW
  gpu_utilization:	0%
  memory_utilization:	19%


Monitoring GPUs with polling period of 250ms:


timestamp_ms,device_index,fan_speed,temperature,power_usage,gpu_utilization,memory_utilization
40107668,0,13,54,43209,48,23
40107920,0,13,54,41671,45,22
40108172,0,13,54,41588,39,19
40108424,0,13,54,41113,40,19
40108676,0,13,53,31625,27,13
40108928,0,13,53,37210,3,3
40109181,0,13,53,21217,46,39
40109434,0,13,53,21327,49,46
40109685,0,12,53,21786,48,45
40109938,0,12,53,21898,48,45
40110190,0,12,53,21898,48,45
40110443,0,12,53,21502,50,45
40110696,0,12,52,21229,49,43
40110948,0,12,53,26757,64,59
40111201,0,12,53,27999,81,82
40111453,0,12,53,33742,82,80
40111705,0,12,53,28193,79,77
40111958,0,12,53,28290,54,81
40112210,0,11,53,28385,52,78
40112464,0,11,53,40923,53,19
40112717,0,11,53,40864,39,19
40112969,0,11,53,41227,37,18
40113221,0,11,53,40477,39,18
40113474,0,11,53,39591,39,18
40113726,0,11,53,39688,39,18
40113978,0,11,53,40633,40,19
40114231,0,11,53,41140,41,19
40114483,0,10,54,42239,41,19
40114735,0,10,54,42156,42,19
40114988,0,10,53,41878,42,19
40115240,0,10,54,40867,43,20
40115493,0,10,54,40547,43,20
40115745,0,10,54,41781,44,21
40115997,0,10,53,42142,45,21
40116250,0,10,54,42708,45,21
40116502,0,10,54,42915,44,21
40116754,0,10,54,42363,44,21
40117006,0,10,54,41781,44,20
40117258,0,10,54,40840,44,20
40117510,0,9,54,40923,44,20
40117762,0,9,53,41574,44,20
40118014,0,9,54,41588,43,20
40118266,0,9,54,42335,43,20
40118518,0,9,54,42335,42,19
40118771,0,9,54,42915,42,19
40119023,0,9,54,42722,48,21
40119275,0,9,54,42142,49,21
40119527,0,9,53,31452,14,8
40119780,0,9,53,30688,0,2
40120032,0,9,53,30862,2,3
40120284,0,9,53,17700,10,20
40120536,0,0,53,16761,43,39
40120789,0,0,53,19318,19,24
40121042,0,0,53,22490,37,36
40121295,0,0,53,23350,62,57
40121548,0,0,53,22962,64,59
40121802,0,0,53,24492,64,57
40122055,0,0,53,26018,72,65
40122308,0,0,53,26310,84,75
